x, y, z, alpha, beta, gamma, zero
0.538099, -1.04656e-16, 0.614435, -3.17496e-17, 0.139413, 3.14159, 0
0.537944, -1.04701e-16, 0.61434, -3.20484e-17, 0.140726, 3.14159, 0
0.537792, -1.04754e-16, 0.614246, -3.23443e-17, 0.142025, 3.14159, 0
0.53764, -1.04754e-16, 0.614152, -3.26372e-17, 0.143312, 3.14159, 0
0.537491, -1.04808e-16, 0.61406, -3.29271e-17, 0.144586, 3.14159, 0
0.537342, -1.04834e-16, 0.613968, -3.32142e-17, 0.145847, 3.14159, 0
0.537196, -1.04848e-16, 0.613878, -3.34984e-17, 0.147096, 3.14159, 0
0.53705, -1.0487e-16, 0.613788, -3.37797e-17, 0.148332, 3.14159, 0
0.536907, -1.04902e-16, 0.613699, -3.40583e-17, 0.149555, 3.14159, 0
0.536764, -1.04929e-16, 0.613611, -3.4334e-17, 0.150767, 3.14159, 0
0.536623, -1.04933e-16, 0.613524, -3.4607e-17, 0.151966, 3.14159, 0
0.536484, -1.04948e-16, 0.613438, -3.48772e-17, 0.153154, 3.14159, 0
0.536346, -1.04992e-16, 0.613353, -3.51448e-17, 0.154329, 3.14159, 0
0.536209, -1.05017e-16, 0.613269, -3.54096e-17, 0.155493, 3.14159, 0
0.536073, -1.05042e-16, 0.613185, -3.56719e-17, 0.156645, 3.14159, 0
0.535939, -1.05045e-16, 0.613102, -3.59314e-17, 0.157785, 3.14159, 0
0.535807, -1.05053e-16, 0.61302, -3.61884e-17, 0.158915, 3.14159, 0
0.535675, -1.05072e-16, 0.612939, -3.64429e-17, 0.160032, 3.14159, 0
0.535545, -1.0511e-16, 0.612859, -3.66947e-17, 0.161139, 3.14159, 0
0.535417, -1.05131e-16, 0.612779, -3.69441e-17, 0.162235, 3.14159, 0
0.535289, -1.05159e-16, 0.612701, -3.7191e-17, 0.163319, 3.14159, 0
0.535163, -1.05174e-16, 0.612623, -3.74353e-17, 0.164393, 3.14159, 0
0.535038, -1.05174e-16, 0.612546, -3.76773e-17, 0.165456, 3.14159, 0
0.534914, -1.05194e-16, 0.612469, -3.79168e-17, 0.166509, 3.14159, 0
0.534792, -1.05198e-16, 0.612394, -3.81539e-17, 0.167551, 3.14159, 0
0.534671, -1.05201e-16, 0.612319, -3.83887e-17, 0.168582, 3.14159, 0
0.534551, -1.0521e-16, 0.612245, -3.86211e-17, 0.169603, 3.14159, 0
0.534432, -1.05214e-16, 0.612171, -3.88512e-17, 0.170614, 3.14159, 0
0.534314, -1.05228e-16, 0.612099, -3.90789e-17, 0.171615, 3.14159, 0
0.534198, -1.05241e-16, 0.612027, -3.93044e-17, 0.172606, 3.14159, 0
0.534083, -1.05246e-16, 0.611956, -3.95277e-17, 0.173587, 3.14159, 0
0.533969, -1.05266e-16, 0.611885, -3.97487e-17, 0.174558, 3.14159, 0
0.533856, -1.0527e-16, 0.611815, -3.99675e-17, 0.175519, 3.14159, 0
0.533744, -1.05283e-16, 0.611746, -4.01841e-17, 0.176471, 3.14159, 0
0.533633, -1.05299e-16, 0.611678, -4.03985e-17, 0.177413, 3.14159, 0
0.533523, -1.05306e-16, 0.61161, -4.06108e-17, 0.178346, 3.14159, 0
0.533415, -1.05304e-16, 0.611543, -4.0821e-17, 0.17927, 3.14159, 0
0.533307, -1.05329e-16, 0.611477, -4.1029e-17, 0.180184, 3.14159, 0
0.533201, -1.05352e-16, 0.611411, -4.1235e-17, 0.181089, 3.14159, 0
0.533096, -1.05387e-16, 0.611346, -4.14389e-17, 0.181985, 3.14159, 0
0.532992, -1.05394e-16, 0.611282, -4.16408e-17, 0.182873, 3.14159, 0
0.532888, -1.05409e-16, 0.611218, -4.18407e-17, 0.183751, 3.14159, 0
0.532786, -1.05408e-16, 0.611155, -4.20385e-17, 0.18462, 3.14159, 0
0.532685, -1.0542e-16, 0.611092, -4.22344e-17, 0.185481, 3.14159, 0
0.532585, -1.05429e-16, 0.61103, -4.24283e-17, 0.186333, 3.14159, 0
0.532486, -1.05445e-16, 0.610969, -4.26203e-17, 0.187177, 3.14159, 0
0.532388, -1.05452e-16, 0.610909, -4.28103e-17, 0.188012, 3.14159, 0
0.532291, -1.05465e-16, 0.610848, -4.29985e-17, 0.188839, 3.14159, 0
0.532194, -1.05459e-16, 0.610789, -4.31848e-17, 0.189658, 3.14159, 0
0.532099, -1.05448e-16, 0.61073, -4.33692e-17, 0.190468, 3.14159, 0
0.532005, -1.05454e-16, 0.610672, -4.35517e-17, 0.19127, 3.14159, 0
0.531912, -1.05479e-16, 0.610614, -4.37325e-17, 0.192065, 3.14159, 0
0.531819, -1.05491e-16, 0.610557, -4.39114e-17, 0.192851, 3.14159, 0
0.531728, -1.05503e-16, 0.610501, -4.40885e-17, 0.19363, 3.14159, 0
0.531637, -1.05501e-16, 0.610445, -4.42639e-17, 0.1944, 3.14159, 0
0.531548, -1.05512e-16, 0.610389, -4.44375e-17, 0.195163, 3.14159, 0
0.531459, -1.05506e-16, 0.610335, -4.46094e-17, 0.195919, 3.14159, 0
0.531371, -1.05508e-16, 0.61028, -4.47796e-17, 0.196666, 3.14159, 0
0.531284, -1.05516e-16, 0.610226, -4.4948e-17, 0.197407, 3.14159, 0
0.531198, -1.0552e-16, 0.610173, -4.51148e-17, 0.19814, 3.14159, 0
0.531113, -1.05515e-16, 0.610121, -4.52799e-17, 0.198865, 3.14159, 0
0.531028, -1.05515e-16, 0.610068, -4.54433e-17, 0.199584, 3.14159, 0
0.530945, -1.05529e-16, 0.610017, -4.56051e-17, 0.200295, 3.14159, 0
0.530862, -1.05526e-16, 0.609966, -4.57653e-17, 0.200999, 3.14159, 0
0.53078, -1.05523e-16, 0.609915, -4.59239e-17, 0.201696, 3.14159, 0
0.530699, -1.05511e-16, 0.609865, -4.60809e-17, 0.202386, 3.14159, 0
0.530619, -1.05494e-16, 0.609815, -4.62363e-17, 0.203069, 3.14159, 0
0.530539, -1.05501e-16, 0.609766, -4.63902e-17, 0.203745, 3.14159, 0
0.530461, -1.05488e-16, 0.609718, -4.65426e-17, 0.204415, 3.14159, 0
0.530383, -1.05501e-16, 0.60967, -4.66934e-17, 0.205078, 3.14159, 0
0.530306, -1.05504e-16, 0.609622, -4.68427e-17, 0.205734, 3.14159, 0
0.530229, -1.05494e-16, 0.609575, -4.69905e-17, 0.206384, 3.14159, 0
0.530154, -1.05497e-16, 0.609528, -4.71368e-17, 0.207027, 3.14159, 0
0.530079, -1.05499e-16, 0.609482, -4.72817e-17, 0.207664, 3.14159, 0
