x, y, z, alpha, beta, gamma, zero
0.221692, -0.0302046, 0.614693, -1.11013, 0.0174873, 2.74856, 0
0.218997, -0.0304479, 0.614626, -1.11911, 0.0176727, 2.7454, 0
0.216328, -0.0306888, 0.614559, -1.128, 0.0178568, 2.74226, 0
0.213687, -0.0309273, 0.614493, -1.13681, 0.0180396, 2.73916, 0
0.211072, -0.0311636, 0.614428, -1.14553, 0.0182211, 2.73609, 0
0.208483, -0.0313975, 0.614364, -1.15416, 0.0184012, 2.73305, 0
0.20592, -0.0316291, 0.6143, -1.1627, 0.01858, 2.73004, 0
0.203382, -0.0318586, 0.614237, -1.17116, 0.0187574, 2.72706, 0
0.20087, -0.0320857, 0.614175, -1.17953, 0.0189335, 2.72411, 0
0.198383, -0.0323107, 0.614113, -1.18782, 0.0191083, 2.72118, 0
0.195921, -0.0325335, 0.614053, -1.19603, 0.0192817, 2.71829, 0
0.193484, -0.0327542, 0.613992, -1.20415, 0.0194538, 2.71543, 0
0.19107, -0.0329727, 0.613933, -1.21219, 0.0196245, 2.7126, 0
0.188681, -0.0331891, 0.613874, -1.22016, 0.0197939, 2.70979, 0
0.186316, -0.0334035, 0.613816, -1.22804, 0.019962, 2.70702, 0
0.183974, -0.0336158, 0.613759, -1.23584, 0.0201287, 2.70427, 0
0.181656, -0.033826, 0.613702, -1.24357, 0.0202941, 2.70155, 0
0.179361, -0.0340342, 0.613646, -1.25122, 0.0204581, 2.69885, 0
0.177089, -0.0342404, 0.613591, -1.25879, 0.0206208, 2.69618, 0
0.17484, -0.0344446, 0.613536, -1.26629, 0.0207822, 2.69354, 0
0.172613, -0.0346469, 0.613482, -1.27371, 0.0209422, 2.69093, 0
0.170408, -0.0348472, 0.613429, -1.28105, 0.0211009, 2.68834, 0
0.168225, -0.0350457, 0.613376, -1.28833, 0.0212583, 2.68578, 0
0.166064, -0.0352422, 0.613323, -1.29553, 0.0214144, 2.68325, 0
0.163925, -0.0354368, 0.613272, -1.30266, 0.0215691, 2.68073, 0
0.161807, -0.0356296, 0.61322, -1.30972, 0.0217226, 2.67825, 0
0.15971, -0.0358205, 0.61317, -1.3167, 0.0218747, 2.67579, 0
0.157635, -0.0360097, 0.61312, -1.32362, 0.0220255, 2.67335, 0
0.15558, -0.036197, 0.61307, -1.33047, 0.022175, 2.67094, 0
0.153545, -0.0363825, 0.613022, -1.33725, 0.0223232, 2.66855, 0
0.151531, -0.0365662, 0.612973, -1.34396, 0.0224702, 2.66619, 0
0.149537, -0.0367482, 0.612925, -1.3506, 0.0226158, 2.66385, 0
0.147563, -0.0369285, 0.612878, -1.35718, 0.0227602, 2.66154, 0
0.145608, -0.0371071, 0.612831, -1.3637, 0.0229033, 2.65924, 0
0.143673, -0.0372839, 0.612785, -1.37014, 0.0230451, 2.65697, 0
0.141758, -0.0374591, 0.612739, -1.37653, 0.0231857, 2.65473, 0
0.139861, -0.0376326, 0.612694, -1.38285, 0.023325, 2.6525, 0
0.137984, -0.0378044, 0.61265, -1.3891, 0.023463, 2.6503, 0
0.136125, -0.0379746, 0.612605, -1.39529, 0.0235998, 2.64812, 0
0.134285, -0.0381432, 0.612562, -1.40143, 0.0237354, 2.64596, 0
0.132463, -0.0383102, 0.612518, -1.4075, 0.0238698, 2.64382, 0
0.13066, -0.0384756, 0.612476, -1.41351, 0.0240029, 2.64171, 0
0.128874, -0.0386395, 0.612433, -1.41946, 0.0241348, 2.63961, 0
0.127106, -0.0388017, 0.612391, -1.42535, 0.0242655, 2.63754, 0
0.125356, -0.0389625, 0.61235, -1.43118, 0.024395, 2.63549, 0
0.123624, -0.0391217, 0.612309, -1.43695, 0.0245234, 2.63345, 0
0.121909, -0.0392794, 0.612269, -1.44267, 0.0246505, 2.63144, 0
0.120211, -0.0394356, 0.612229, -1.44832, 0.0247764, 2.62945, 0
0.118529, -0.0395903, 0.612189, -1.45392, 0.0249012, 2.62748, 0
0.116865, -0.0397435, 0.61215, -1.45947, 0.0250248, 2.62553, 0
0.115217, -0.0398953, 0.612111, -1.46496, 0.0251473, 2.62359, 0
0.113586, -0.0400457, 0.612073, -1.4704, 0.0252686, 2.62168, 0
0.111971, -0.0401946, 0.612035, -1.47578, 0.0253888, 2.61979, 0
